City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-17.18,78,75,0.0,US,1707250351
1,blackmans bay,-43.0167,147.3167,12.07,82,97,2.05,AU,1707250351
2,bilibino,68.0546,166.4372,-34.95,100,100,0.68,RU,1707250352
3,ribeira grande,38.5167,-28.7,17.1,94,75,13.89,PT,1707250353
4,pathein,16.7833,94.7333,22.58,67,0,4.51,MM,1707250354
5,bethel,41.3712,-73.414,6.05,48,0,4.12,US,1707250354
6,kaspiyskiy,45.3929,47.3707,0.84,68,61,7.5,RU,1707250355
7,dalandzadgad,43.5708,104.425,-15.46,79,4,0.75,MN,1707250356
8,tanguieta,10.6212,1.2665,25.88,16,12,2.67,BJ,1707250356
9,adamstown,-25.066,-130.1015,24.95,80,35,0.72,PN,1707250357
10,la passe,45.5549,-0.8967,10.55,91,100,4.28,FR,1707250358
11,carnarvon,-24.8667,113.6333,29.14,35,5,7.78,AU,1707250358
12,monteagudo,-19.8167,-63.9833,27.47,53,61,1.23,BO,1707250359
13,vorkuta,67.5,64.0,-23.49,97,100,2.02,RU,1707250360
14,totness,5.8833,-56.3167,27.13,84,48,6.98,SR,1707250361
15,vilyuysk,63.7553,121.6247,-29.44,100,100,0.45,RU,1707250361
16,griffith,41.5284,-87.4237,7.19,93,20,2.57,US,1707250362
17,thanh hoa,19.8,105.7667,20.27,95,100,2.33,VN,1707250363
18,puerto ayora,-0.7393,-90.3518,28.98,79,68,4.9,EC,1707250364
19,eregli,37.5133,34.0467,8.52,47,5,3.4,TR,1707250365
20,kindu,-2.95,25.95,21.53,96,100,1.2,CD,1707250365
21,ushuaia,-54.8,-68.3,18.79,36,0,1.54,AR,1707250366
22,kampene,-3.6,26.6667,20.61,99,100,1.29,CD,1707250367
23,hamilton,39.1834,-84.5333,9.77,59,0,2.57,US,1707249906
24,tolanaro,-25.0319,46.9987,22.72,97,100,2.66,MG,1707250368
25,grytviken,-54.2811,-36.5092,10.42,54,3,2.04,GS,1707250369
26,saint-francois,46.4154,3.9054,7.58,88,100,2.57,FR,1707250369
27,port-aux-francais,-49.35,70.2167,6.02,89,100,11.78,TF,1707250370
28,edinburgh of the seven seas,-37.0676,-12.3116,17.09,69,26,3.43,SH,1707250371
29,utrik,11.2278,169.8474,26.29,81,100,7.39,MH,1707250371
30,zaozersk,69.4005,32.4476,-19.44,98,91,4.1,RU,1707250372
31,ciudad insurgentes,25.2625,-111.7753,24.02,38,100,3.7,MX,1707250373
32,porto franco,-6.3383,-47.3992,28.21,75,100,1.61,BR,1707250374
33,kodiak,57.79,-152.4072,-3.27,86,0,0.0,US,1707250374
34,ostersund,63.1792,14.6357,-9.75,92,100,4.12,SE,1707250275
35,puerto san jose,13.9256,-90.8244,30.78,43,0,6.83,GT,1707250376
36,natal,-5.795,-35.2094,30.36,66,40,5.66,BR,1707250377
37,hawaiian paradise park,19.5933,-154.9731,22.8,87,100,2.57,US,1707250378
38,yellowknife,62.456,-114.3525,-17.55,84,100,5.66,CA,1707250379
